KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
051413-3;32617735;12;8;SPAR FANØ;V/KØBMAND ELLEN KATTENHØJ ROUG;STRANDVEJEN 27;DK;6720;FANØ;75163120;5790000027408;0514133@SPAR.DK
052236-7;68472210;12;2;MIN KØBMAND SOMMERSTED;K.MEILANDT TOFT & L.TARP;STOREGADE 2;DK;6560;SOMMERSTED;74504200;5790000027576;0522367@MINKOBMAND.DK
050200-5;11022243;12;2;MIN KØBMAND NUSTRUP;JYTTE & PETER BJØRNSKOV;DÆMNINGEN 2 - NUSTRUP;DK;6500;VOJENS;74871107;5790000027750;0502005@MINKOBMAND.DK
052235-9;15476486;12;8;SPAR AGERSKOV;SONJA & PAUL PETERSEN;HOVEDGADEN 14;DK;6534;AGERSKOV;74833303;5790000027828;0522359@SPAR.DK
071455-0;13744505;12;2;MIN KØBMAND ØSBY;J. SØRENSEN & SØN;ØSBY KIRKEVEJ 14, ØSBY;DK;6100;HADERSLEV;74584214;5790000027972;0714550@MINKOBMAND.DK
076062-9;13286876;12;2;MIN KØBMAND ASP;GITTE KLINT;LANGHØJVEJ 10,ASP;DK;7600;STRUER;97487700;5790000028146;0760629@MINKOBMAND.DK
227844-8;27773664;12;8;SPAR ØRNHØJ;SPAR ØRNHØJ APS;HOVEDGADEN 54;DK;6973;ØRNHØJ;97386008;5790000028191;2278448@SPAR.DK
012042-8;26813336;12;8;SPAR RØDBY;SPAR RØDBY APS;ØSTERGADE 12 A;DK;4970;RØDBY;54601062;5790000028504;0120428@SPAR.DK
076057-9;57447915;12;2;MIN KØBMAND ULBJERG;THORKILD SKOV;BORGERGADE 1, ULBJERG;DK;8832;SKALS;86697004;5790000028733;0760579@MINKOBMAND.DK
076030-6;81016119;12;2;MIN KØBMAND BLENSTRUP;GERDA A. JENSEN;VESTERBYGADE 16, BLENSTRUP;DK;9520;SKØRPING;98339014;5790000028740;0760306@MINKOBMAND.DK
076014-0;12414803;12;2;MIN KØBMAND LEMVIG;BENT PEDERSEN;INDUSTRIVEJ 1;DK;7620;LEMVIG;97821130;5790000028924;0760140@MINKOBMAND.DK
076032-2;18824981;12;2;MIN KØBMAND RISSKOV;BENT SØRENSEN;NORDRE STRANDVEJ 45;DK;8240;RISSKOV;86177385;5790000028962;0760322@MINKOBMAND.DK
052252-4;31867681;12;2;MIN KØBMAND VRØGUM;SPAR VRØGUM APS;FILSØVEJ 2, VRØGUM;DK;6840;OKSBØL;75271230;5790000029006;0522524@MINKOBMAND.DK
076164-3;26357551;12;6;KWIK SPAR DYRUP;VAHID M ZADEH & DAVOUD HASHEM;RANUNKELVÆNGET 86 - DYRUP;DK;5250;ODENSE SV;65926063;5790000029051;dyrup@spar.dk
051141-0;29629684;12;8;SPAR ODENSE SØ;SPAR HOLLUFPILE APS;HOLLUFGÅRDSVEJ 219;DK;5220;ODENSE SØ;66157320;5790000029099;0511410@SPAR.DK
076150-2;26071100;12;6;KWIK SPAR SILKEBORG;OLE JØRGENSEN;ÅRHUSVEJ 16;DK;8600;SILKEBORG;86821589;5790000029402;silkeborg.aarhusvej@spar.dk
076027-2;69253814;12;8;SPAR NYKØBING M;EJVIND IBSEN PEDERSEN;FJORDGADE 6;DK;7900;NYKØBING M;97720077;5790000029488;0760272@SPAR.DK
076018-1;10563887;12;8;SPAR NYKØBING M;SVEND O'S MINIMARKED;FÆLLEDVEJ 17;DK;7900;NYKØBING M;97720900;5790000029495;0760181@SPAR.DK
076052-0;15239549;12;2;MIN KØBMAND ØSTER ASSELS;DIGE LAVPRIS A/S;ASSELSVEJ 184;DK;7990;ØSTER ASSELS;97764143;5790000029518;0760520@MINKOBMAND.DK
076068-6;27624499;12;2;MIN KØBMAND VILS;LEO DYBDAL;NØRRE ALLE 1;DK;7980;VILS;97767031;5790000029662;0760686@MINKOBMAND.DK
076075-1;10051479;12;2;MIN KØBMAND THORSMINDE;DØGNEREN I ULFBORG APS;VESTERHAVSGADE 8,THORSMINDE;DK;6990;ULFBORG;97497154;5790000029686;0760751@MINKOBMAND.DK
214540-7;74715028;12;6;KWIK SPAR HJERMITSLEV;INGER JØRGENSEN;ASSENBÆKVEJ 4,V. HJERMITSLEV;DK;9700;BRØNDERSLEV;98887302;5790000029938;v.hjermitslev@spar.dk
076011-6;51713354;12;2;MIN KØBMAND JERSLEV J;PREBEN SVENDSEN;BORGERGADE 1;DK;9740;JERSLEV J;98831333;5790000030156;0760116@MINKOBMAND.DK
500992-3;74153119;12;2;MIN KØBMAND SKAGEN;HELLE & MOGENS JØRGENSEN;DANEVEJ 27;DK;9990;SKAGEN;98441429;5790000030286;5009923@MINKOBMAND.DK
217973-7;10542049;12;8;SPAR SINDAL;POMA A/S  V/PREBEN LARSEN;NØRREGADE 51;DK;9870;SINDAL;98935210;5790000030422;2179737@SPAR.DK
071314-9;76767912;12;6;KWIK SPAR RIBE;LARS N. JENSEN;SØNDERPORTSGADE 24;DK;6760;RIBE;75420049;5790000030859;ribe@spar.dk
231044-9;11995683;12;2;MIN KØBMAND HJERM;SØREN KONGSGÅRD;VESTRE HOVEDGADE 1;DK;7560;HJERM;97464008;5790000031429;2310449@MINKOBMAND.DK
214877-3;50355810;12;8;SPAR KLITMØLLER;KLITMØLLER INDKØBSC. APS;ØRHAGEVEJ 71, KLITMØLLER;DK;7700;THISTED;97975144;5790000031597;2148773@SPAR.DK
200805-0;41911417;12;4;EUROSPAR VORUPØR;G. HILLGAARD A/S;VESTERHAVSGADE 44,VORUPØR;DK;7700;THISTED;97938022;5790000031641;vorupor@spar.dk
202005-5;30604687;12;8;SPAR GANDRUP;SPAR GANDRUP APS;BORGERGADE 84;DK;9362;GANDRUP;98259001;5790000031696;2020055@SPAR.DK
052242-5;55896712;12;2;MIN KØBMAND ST. ANDST;ELSE MARIE ANDERSEN;MARK DANNERSVEJ 23 -ST ANDST;DK;6600;VEJEN;75588014;5790000031986;0522425@MINKOBMAND.DK
050310-2;13554099;12;2;MIN KØBMAND BREDEBRO;KIRSTEN WEDE;SØNDERGADE 1;DK;6261;BREDEBRO;74711348;5790000032532;0503102@MINKOBMAND.DK
071555-7;21380172;12;8;SPAR AS-VIG;SPAR AS-VIG APS;GLUDVEJ 20, AS-VIG;DK;7130;JUELSMINDE;75690059;5790000032679;0715557@SPAR.DK
551180-3;85812815;12;2;MIN KØBMAND GADBJERG;LUNDGÅRD MARKED K L HANSEN;LANGGADE 35;DK;7321;GADBJERG;75876020;5790000033140;5511803@MINKOBMAND.DK
012304-2;31593352;12;8;SPAR GODTHÅBSVEJ;SPAR GODTHÅBSVEJ APS;GODTHÅBSVEJ 142;DK;2000;FREDERIKSBERG;42464247;5790000033447;0123042@SPAR.DK
015224-9;12599889;12;2;MIN KØBMAND HVIDOVRE;BØRGE L.SØRENSEN;TRÆDREJERPORTEN 4;DK;2650;HVIDOVRE;36490073;5790000033461;0152249@MINKOBMAND.DK
014304-0;27250297;12;8;SPAR KØBENHAVN S;SOLE PEDERSEN APS;AMAGERBROGADE 175;DK;2300;KØBENHAVN S;32553055;5790000033676;0143040@SPAR.DK
014326-3;17497073;12;2;MIN KØBMAND CLASSENSGADE;SPAR I/S V/BIRTE & CHR.WENZZEL;CLASSENSGADE 44;DK;2100;KØBENHAVN Ø;35423717;5790000033683;0143263@MINKOBMAND.DK
041199-1;72296214;12;2;MIN KØBMAND HELLERUP;GUNNER LARSEN;STRANDVEJEN 221 A;DK;2900;HELLERUP;39625356;5790000034116;0411991@MINKOBMAND.DK
201233-4;31790867;12;2;MIN KØBMAND LØVEL;TINE ROSENKRANDS;GL.AALBORGVEJ 11 - LØVEL;DK;8830;TJELE;86699010;5790000034321;2012334@MINKOBMAND.DK
041758-4;80812515;12;2;MIN KØBMAND FREDERIKSBERG;FOLDBERG PEDERSEN;FREDERIKSBERG ALLE 53;DK;1820;FREDERIKSBERG C;33316132;5790000034390;0417584@MINKOBMAND.DK
200924-9;26904897;12;8;SPAR Ø.BRØNDERSLEV;JAN JÆGER;ELMEVEJ 62, Ø.BRØNDERSLEV;DK;9700;BRØNDERSLEV;98811003;5790000034840;2009249@SPAR.DK
012184-8;34905010;12;2;MIN KØBMAND VENSLEV;H.C.HANDELSC. VENSLEV A/S;BYGADEN, VENSLEV;DK;4050;SKIBBY;47594740;5790000035236;0121848@MINKOBMAND.DK
037297-9;30981103;12;8;SPAR KARREBÆKSMINDE;SPAR KARREBÆKSMINDE I/S;BROSVINGET 28;DK;4736;KARREBÆKSMINDE;55430555;5790000035656;0372979@SPAR.DK
202104-6;35243356;12;8;SPAR BLÅVAND;SPAR BLÅVAND APS.;HORNS BJERGE 1;DK;6857;BLÅVAND;75279810;5790000035700;2021046@SPAR.DK
200618-7;17943596;12;2;MIN KØBMAND VEJRS STORKØB;HANS KRISTIAN LYHNE PEDERSEN;VEJERS HAVVEJ 68 B;DK;6853;VEJERS STRAND;75277577;5790000035823;2006187@MINKOBMAND.DK
014087-1;51130510;12;6;KWIK SPAR KALUNDBORG;HANS KURT JØRGENSEN;SLAGELSEVEJ 147;DK;4400;KALUNDBORG;59510102;5790000035908;kalundborg@spar.dk
041276-7;73273013;12;8;SPAR HASLE;GRØNBECH & CO. APS;STOREGADE 47;DK;3790;HASLE;56964001;5790000036035;0412767@SPAR.DK
015234-8;12477902;12;8;SPAR ÅKIRKEBY;ÅKIRKEBY SUPERMARKED A/S;TORVET 1;DK;3720;AAKIRKEBY;56974053;5790000036042;0152348@SPAR.DK
051154-3;31826004;12;8;SPAR SKOVLUND;RENE SCHMIDT KJÆR;HOVEDGADEN 30 SKOVLUND;DK;6823;ANSAGER;75292233;5790000036301;0511543@SPAR.DK
041225-4;71776115;12;2;MIN KØBMAND TOKSVÆRD;HANS H. MORTENSEN;SØLEDVEJ 5, TOKSVÆRD;DK;4684;HOLMEGAARD;55561070;5790000036837;0412254@MINKOBMAND.DK
050024-9;81688028;12;8;SPAR ASSENS;BØRGE LARSENS SUPERM. APS;ØSTERGADE 81;DK;5610;ASSENS;64712248;5790000037445;0500249@SPAR.DK
050030-6;17513893;12;4;EUROSPAR HESSELAGER;KELD PETERSEN;ØSTERGADE 66;DK;5874;HESSELAGER;62251475;5790000037698;hesselager@spar.dk
050807-7;14396977;12;8;SPAR SVENDBORG;SONJA HAANING;MØLMARKSVEJ 101;DK;5700;SVENDBORG;62213009;5790000038084;0508077@SPAR.DK
050711-1;27674143;12;2;MIN KØBMAND  BROBYVÆRK;LISBETH GREGERSEN;MARSK-BILLESVEJ 23,BROBYVÆRK;DK;5672;BROBY;62631150;5790000038244;0507111@MINKOBMAND.DK
050012-4;10316081;12;8;SPAR ODENSE N;STIGE SUPERM. AF 1987 APS;STIGEVEJ 275;DK;5270;ODENSE N;66188258;5790000038343;0500124@SPAR.DK
072000-3;31584736;12;2;MIN KØBMAND  NR.UTTRUP;SPAR NR. UTTRUP  APS.;NØRRE UTTRUP TORV 15;DK;9400;NØRRESUNDBY;98173964;5790000038480;0720003@MINKOBMAND.DK
045023-9;23700816;12;2;MIN KØBMAND SNEKKERSTEN;NIELS ERIK HANSEN;STRANDVEJEN 228;DK;3070;SNEKKERSTEN;49220042;5790000039111;0450239@MINKOBMAND.DK
076024-9;14902899;12;2;MIN KØBMAND VESTE HORNUM;NIELS JØRGENSEN;HOVEDGADEN 60 VESTER HORNUM;DK;9640;FARSØ;98663305;5790000041138;0760249@MINKOBMAND.DK
217181-7;11222471;12;8;SPAR SKIVE;STEEN OVERMARK;ROSENBAKKEN 10;DK;7800;SKIVE;97527484;5790000041145;2171817@SPAR.DK
076033-0;14393145;12;6;KWIK SPAR AGGERSUND;KØBMAND JENS CHR. OLSEN;ULLERUPVEJ 51, AGGERSUND;DK;9670;LØGSTØR;98221005;5790000041275;aggersund@spar.dk
071363-6;15178035;12;2;MIN KØBMAND KNEBEL;JENS K. ANDERSEN;KNEBEL BYGADE 27;DK;8420;KNEBEL;86351012;5790000041718;0713636@MINKOBMAND.DK
076031-4;15454598;12;2;MIN KØBMAND NR. NISSUM;FREDE K. TOELBERG CHRISTENSEN;SEMINARIEVEJ 9, NR.NISSUM;DK;7620;LEMVIG;97891120;5790000042593;0760314@MINKOBMAND.DK
076105-6;88648811;12;2;MIN KØBMAND STADIL;NIELS KR. LODBJERG;SKELMOSEVEJ 89, STADIL;DK;6980;TIM;97331200;5790000042746;0761056@MINKOBMAND.DK
076108-0;15189398;12;2;MIN KØBMAND ÅRHUS N;MICHAEL GEILMAN;PALUDAN MULLERSVEJ 92;DK;8200;ÅRHUS N;86168060;5790000042920;0761080@MINKOBMAND.DK
071430-3;31575621;12;4;EUROSPAR EBBERUP;SUPER SPAR EBBERUP APS;EBBERUPVEJ 75;DK;5631;EBBERUP;64741182;5790000043330;ebberup@spar.dk
050133-8;28417071;12;2;MIN KØBMAND HARBOØRE;CHARLOTTE MARIANNE ABILDTRUP;KIRKEGADE 1;DK;7673;HARBOØRE;97835050;5790000043446;0501338@MINKOBMAND.DK
201114-6;16336572;12;2;MIN KØBMAND FRØSTRUP;BO SØRENSEN;SØNDERGADE 5;DK;7741;FRØSTRUP;97991028;5790000043484;2011146@MINKOBMAND.DK
052401-7;68622816;12;2;MIN KØBMAND STOUBY;ULLA & JOHS. YDING;BORGERGADE 21;DK;7140;STOUBY;75897002;5790000043675;0524017@MINKOBMAND.DK
076160-1;13951632;12;6;KWIK SPAR FJELSTRUP;CLAUS SCHØNING HANSEN;FJELSTRUP NØRREVEJ 3,FJELSTRUP;DK;6100;HADERSLEV;74566345;5790000044191;fjelstrup@spar.dk
076166-8;27111467;12;8;SPAR KAAS;BO JUEL HENRIKSEN;BROGÅRDSGADE 3, KAAS;DK;9490;PANDRUP;98245010;5790000044276;0761668@SPAR.DK
052218-5;28480091;12;8;SPAR HALD;SPAR HALD APS;ØRSLEV KLOSTERVEJ 107 -  HALD;DK;7840;HØJSLEV;97538003;5790000044757;0522185@SPAR.DK
076119-7;16195278;12;2;MIN KØBMAND ASTRUP;ASTRUP KØBMANDSHANDEL A.M.B.A;HØJEVEJ 25 B -  ASTRUP;DK;6900;SKJERN;97364010;5790000044870;0761197@MINKOBMAND.DK
013306-6;30409701;12;6;KWIK SPAR MARBÆK;V/NIRVAIR SINGH;MARBÆKVEJ 18;DK;3600;FREDERIKSSUND;47313939;5790000046607;marbaek@spar.dk
071752-0;12558198;12;8;SPAR BINDSLEV;KARLO THOMSEN;SØNDERBRO 12;DK;9881;BINDSLEV;98938044;5790000046737;0717520@SPAR.DK
050239-3;31246083;12;6;KWIK SPAR BEVTOFT;MARIA BOJSEN;KRYGERSVEJ 38;DK;6541;BEVTOFT;74514106;5790000046744;bevtoft@spar.dk
071396-6;12533543;12;8;SPAR HAVERSLEV;SPAR  NØRAGER APS;STRANDVEJEN 2, HAVERSLEV;DK;9610;NØRAGER;98654013;5790000046799;0713966@SPAR.DK
041442-5;12995393;12;2;MIN KØBMAND LYDERSLEV;KARL ERIK HANSEN;LYDERSLEV BYGADE 6,LYDERSLEV;DK;4660;STORE HEDDINGE;56508002;5790000046874;0414425@MINKOBMAND.DK
071775-1;19164535;12;2;MIN KØBMAND ARNUM;JONNA OG BØRGE LARSEN;VESTERGADE 1, ARNUM;DK;6510;GRAM;74826104;5790000046959;0717751@MINKOBMAND.DK
